step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J11_stopped,J11_accumulated_waiting_time,J11_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
345.0,2,11.0,1.0,8.706410762726772,2,11.0,0.35117475256862907,2,11.0
350.0,0,0.0,0.0,9.479136400742966,0,8.0,0.6039213681032498,0,8.0
355.0,0,0.0,0.0,11.790467486234045,0,0.0,0.9374085171500995,0,0.0
360.0,0,0.0,0.0,12.513281920375684,0,0.0,0.9741482199463035,0,0.0
365.0,0,0.0,0.0,12.127808012193874,0,0.0,0.9253723522931283,0,0.0
370.0,1,0.0,0.0,8.978233412256223,1,0.0,0.5232433173699905,1,0.0
375.0,3,8.0,0.8888888888888888,7.488242063358795,3,8.0,0.3449708717357091,3,8.0
380.0,1,0.0,0.0,8.714025806289204,1,0.0,0.6927225694881678,1,0.0
385.0,0,0.0,0.0,10.725625235675682,0,0.0,0.7725672148941523,0,0.0
390.0,1,2.0,0.16666666666666666,9.854329075348103,1,2.0,0.6643126302005744,1,2.0
395.0,0,0.0,0.0,11.250098204850076,0,0.0,0.8696383259301178,0,0.0
400.0,1,0.0,0.0,11.287235231635487,1,0.0,0.7946965187046435,1,0.0
405.0,0,0.0,0.0,10.662426458518127,0,0.0,0.7419883151739636,0,0.0
410.0,0,0.0,0.0,10.49519348538518,0,0.0,0.8320843604469742,0,0.0
415.0,1,4.0,0.3076923076923077,10.558228438088001,1,4.0,0.6619918390064389,1,4.0
420.0,2,11.0,0.8461538461538461,8.677374639765041,2,11.0,0.48843809781679826,2,11.0
425.0,2,5.0,0.38461538461538464,9.26381368387209,2,11.0,0.5569490464073794,2,11.0
430.0,2,0.0,0.0,8.332234665251123,2,0.0,0.4055912661239583,2,0.0
435.0,2,8.0,0.5714285714285714,10.584968505091837,2,8.0,0.6139337344638663,2,8.0
440.0,1,3.0,0.2727272727272727,9.970406033008585,1,10.0,0.6571952099555101,1,10.0
445.0,1,2.0,0.18181818181818182,10.63433550351849,1,2.0,0.7131931809108577,1,2.0
450.0,1,7.0,0.7,10.234616806301645,1,7.0,0.6054694587062273,1,7.0
455.0,1,0.0,0.0,8.387232824269812,1,0.0,0.4191809484692512,1,0.0
460.0,2,3.0,0.23076923076923078,9.85110643503818,2,3.0,0.557227085994544,2,3.0
465.0,1,8.0,0.5333333333333333,10.530579805447392,1,8.0,0.7128694522038099,1,8.0
470.0,1,0.0,0.0,9.399063933687067,1,0.0,0.7090128471305555,1,0.0
475.0,0,0.0,0.0,11.663152930124769,0,0.0,0.8817295266762524,0,0.0
480.0,0,0.0,0.0,11.12266063379831,0,0.0,0.8509389617320127,0,0.0
485.0,0,0.0,0.0,9.656875827434964,0,0.0,0.7828283551861819,0,0.0
490.0,1,2.0,0.125,10.00646836790343,1,2.0,0.7274030106019481,1,2.0
495.0,2,11.0,0.6470588235294118,8.112008506688774,2,11.0,0.45265722300330113,2,11.0
500.0,1,3.0,0.17647058823529413,8.02623291866115,1,10.0,0.5418942173482257,1,10.0
505.0,3,6.0,0.3333333333333333,8.53403564647305,3,9.0,0.47346604881532556,3,9.0
510.0,4,20.0,1.1111111111111112,8.960291103831484,4,20.0,0.5185054358933912,4,20.0
515.0,2,0.0,0.0,8.68369780872238,2,11.0,0.5884857215374144,2,11.0
535.0,2,21.0,1.1666666666666667,10.34022184187039,2,21.0,0.7097381431032729,2,21.0
555.0,5,32.0,1.6,7.1861755255792685,5,32.0,0.31607818584611747,5,32.0
580.0,1,13.0,0.5652173913043478,10.346977953583648,1,13.0,0.7312649933224689,1,13.0
605.0,6,78.0,3.391304347826087,7.072744290333696,6,78.0,0.29495533788953426,6,78.0
615.0,1,0.0,0.0,10.305689595178043,1,12.0,0.7127806448476984,1,12.0
635.0,5,37.0,0.9736842105263158,9.57176572181493,5,40.0,0.6665485344810345,5,40.0
655.0,10,107.0,2.675,8.734079264018526,10,108.0,0.4854796100151925,10,108.0
670.0,2,22.0,0.5945945945945946,9.787349471644903,2,23.0,0.534983806827465,2,23.0
690.0,6,81.0,2.7,9.10856959438006,6,82.0,0.5248389736711195,6,82.0
705.0,6,19.0,0.6333333333333333,8.220555241922822,6,19.0,0.5146894069025524,6,19.0
725.0,3,33.0,0.825,10.562282110762666,3,33.0,0.6804941691414697,3,33.0
745.0,8,62.0,1.7714285714285714,9.199405544315422,8,62.0,0.4794303044157848,8,62.0
765.0,4,37.0,1.1935483870967742,10.05158267742329,4,37.0,0.6396862250633051,4,37.0
785.0,4,28.0,1.037037037037037,9.431351869667711,4,28.0,0.5254014876900184,4,28.0
805.0,5,51.0,1.7,9.740893503754517,5,51.0,0.6498153333774315,5,51.0
825.0,5,45.0,1.125,10.534308329668912,5,45.0,0.6790277302118056,5,45.0
845.0,5,38.0,0.95,9.25392576904982,5,38.0,0.5794700368026567,5,38.0
865.0,9,83.0,1.8863636363636365,8.471557010802838,9,83.0,0.5576486212867511,9,83.0
880.0,6,43.0,0.8775510204081632,8.832971686920626,6,43.0,0.6074469745205147,6,43.0
900.0,10,69.0,1.2545454545454546,8.215926884619039,10,72.0,0.46374562964753807,10,72.0
920.0,11,94.0,1.5161290322580645,8.73407433852132,11,94.0,0.567865203855109,11,94.0
945.0,18,186.0,3.206896551724138,7.347754348039212,18,186.0,0.38045083813729474,18,186.0
980.0,14,232.0,4.142857142857143,8.187115366033042,14,232.0,0.46753725852022215,14,232.0
1005.0,11,135.0,2.547169811320755,8.492324984981927,11,135.0,0.5203273220016796,11,135.0
1020.0,10,53.0,0.8983050847457628,7.901265574257222,10,76.0,0.4902430716467153,10,76.0
1045.0,11,168.0,2.6666666666666665,8.88886846517985,11,189.0,0.5681188693032683,11,189.0
1070.0,12,147.0,2.0704225352112675,7.920326245234793,12,163.0,0.4773533284041722,12,163.0
1095.0,21,265.0,3.533333333333333,7.288644425777455,21,286.0,0.4238454316072558,21,286.0
1110.0,22,158.0,2.0256410256410255,5.901362083051481,22,406.0,0.2759887095605652,22,406.0
