step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J11_stopped,J11_accumulated_waiting_time,J11_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
15.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
30.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
45.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
60.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
75.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
90.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
105.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
120.0,0,0.0,0.0,13.263036568858661,0,0.0,0.9541752927236447,0,0.0
135.0,0,0.0,0.0,13.286956544476562,0,0.0,0.9558961542788893,0,0.0
150.0,0,0.0,0.0,13.570894943876192,0,0.0,1.0,0,0.0
165.0,0,0.0,0.0,12.734439943876193,0,0.0,0.974807369965518,0,0.0
180.0,2,0.0,0.0,4.141721850479482,2,0.0,0.31704425180756685,2,0.0
195.0,0,0.0,0.0,12.658049860001073,0,0.0,0.9360283187257815,0,0.0
210.0,1,3.0,0.5,8.447379796754996,1,3.0,0.4886807407738872,1,3.0
225.0,0,0.0,0.0,12.383293852601275,0,0.0,0.9643285529089605,0,0.0
240.0,0,0.0,0.0,11.225288463773133,0,0.0,1.0,0,0.0
255.0,0,0.0,0.0,11.393775858005917,0,0.0,0.9347450940331153,0,0.0
270.0,0,0.0,0.0,9.802055715619682,0,0.0,0.841695309053261,0,0.0
285.0,0,0.0,0.0,11.551957326891946,0,0.0,0.94969902974369,0,0.0
300.0,3,6.0,0.6,6.9696297083571865,3,6.0,0.47558520564275686,3,6.0
315.0,2,6.0,0.5454545454545454,9.327189021647305,2,6.0,0.5901472516744373,2,6.0
330.0,1,2.0,0.2,11.26311121864711,1,2.0,0.7596204786548512,1,2.0
345.0,1,5.0,0.45454545454545453,9.628999473854249,1,5.0,0.4792902329692642,1,5.0
360.0,1,12.0,1.5,10.967738526664538,1,12.0,0.7614422811754161,1,12.0
375.0,3,7.0,0.875,8.01274138526426,3,7.0,0.3735542295399992,3,7.0
390.0,1,3.0,0.25,10.397516538788704,1,3.0,0.6630171015661007,1,3.0
405.0,1,2.0,0.16666666666666666,9.609220229129344,1,2.0,0.6274228484044336,1,2.0
420.0,2,10.0,0.8333333333333334,8.779740668680324,2,10.0,0.4794068954964833,2,10.0
435.0,2,6.0,0.5,10.015653447518853,2,6.0,0.6343903595959054,2,6.0
450.0,1,4.0,0.4,10.245875573399905,1,4.0,0.61351736976512,1,4.0
465.0,1,4.0,0.2857142857142857,10.06906465157073,1,4.0,0.6887493646567601,1,4.0
480.0,0,0.0,0.0,10.74560827519613,0,0.0,0.849146829025397,0,0.0
495.0,2,11.0,0.6111111111111112,8.798000335410585,2,11.0,0.5285432940143943,2,11.0
510.0,4,17.0,0.8947368421052632,9.399172197256878,4,17.0,0.5197949174445078,4,17.0
525.0,0,0.0,0.0,11.844450296480794,0,0.0,0.8997294342708055,0,0.0
540.0,2,20.0,1.1111111111111112,10.560698321505647,2,20.0,0.7068650188355634,2,20.0
555.0,5,28.0,1.4736842105263157,7.514076729510186,5,28.0,0.29775181130986483,5,28.0
570.0,1,5.0,0.19230769230769232,11.576744188948783,1,5.0,0.8198168869231758,1,5.0
585.0,1,4.0,0.19047619047619047,10.057406993245092,1,4.0,0.6506849248680171,1,4.0
600.0,2,14.0,0.7,10.674433286515121,2,14.0,0.5624942280837286,2,14.0
615.0,3,5.0,0.17857142857142858,10.087112666010231,3,5.0,0.6791760050071564,3,5.0
625.0,1,2.0,0.0625,10.603537480247137,1,3.0,0.7587634395217968,1,3.0
650.0,10,83.0,2.024390243902439,8.078057247879913,10,83.0,0.39275598880792956,10,83.0
660.0,0,0.0,0.0,9.266136240498321,0,47.0,0.5575660700833335,0,47.0
685.0,12,206.0,6.866666666666666,7.305090888651226,12,253.0,0.41688782684645864,12,253.0
705.0,5,27.0,0.7297297297297297,8.858923384169046,5,31.0,0.5639003417627558,5,31.0
