Paso_Tiempo,Vehiculos_Activos,Cola_Actual,Velocidad_Min,Velocidad_Max,Velocidad_Promedio,TiempoEspera_Promedio,TiempoPerdido_Promedio,Arrival_Rate
113.0,1,1,0.0,0.0,0.0,0.0,0.0,1
114.0,1,0,2.3310280318837613,2.3310280318837613,2.3310280318837613,0.0,0.8323001415910963,1
115.0,1,0,4.445959095843136,4.445959095843136,4.445959095843136,0.0,1.512446969228281,1
116.0,1,0,7.145483226981014,7.145483226981014,7.145483226981014,0.0,1.9983834277188555,1
117.0,1,0,10.05083151825238,10.05083151825238,10.05083151825238,0.0,2.275302023528037,1
118.0,1,0,11.995398746570572,11.995398746570572,11.995398746570572,0.0,2.4123236964366286,1
119.0,1,0,13.60903385989368,13.60903385989368,13.60903385989368,0.0,2.433256512271616,0
120.0,1,0,12.883088681823574,12.883088681823574,12.883088681823574,0.0,2.506415599910208,0
121.0,1,0,12.77579733831808,12.77579733831808,12.77579733831808,0.0,2.5872934892398423,0
122.0,1,0,13.753376528364607,13.753376528364607,13.753376528364607,0.0,2.5978419404366333,0
123.0,1,0,12.74479625755921,12.74479625755921,12.74479625755921,0.0,2.6809501233460424,0
124.0,1,0,13.86352090057917,13.86352090057917,13.86352090057917,0.0,2.683574518987829,0
125.0,1,0,12.462013015034609,12.462013015034609,12.462013015034609,0.0,2.787026820064476,0
126.0,1,0,12.467607834120281,12.467607834120281,12.467607834120281,0.0,2.8900766161709304,0
127.0,1,0,12.744162313267589,12.744162313267589,12.744162313267589,0.0,2.973230406583334,0
128.0,1,0,13.234926890558564,13.234926890558564,13.234926890558564,0.0,3.021077392874085,0
129.0,1,0,13.129477037210018,13.129477037210018,13.129477037210018,0.0,3.076510699549623,0
130.0,1,0,12.830315558682196,12.830315558682196,12.830315558682196,0.0,3.1534664147523426,0
131.0,1,0,13.533700093138032,13.533700093138032,13.533700093138032,0.0,3.179818926037376,0
132.0,1,0,13.035081603075378,13.035081603075378,13.035081603075378,0.0,3.242043271139867,0
133.0,1,0,12.788346162508242,12.788346162508242,12.788346162508242,0.0,3.3220183673622956,0
134.0,1,0,12.531430497509428,12.531430497509428,12.531430497509428,0.0,3.4204766049515456,0
135.0,1,0,13.773849582159892,13.773849582159892,13.773849582159892,0.0,3.4295521745803303,0
136.0,1,0,12.721210910915397,12.721210910915397,12.721210910915397,0.0,3.5143571450180717,0
137.0,1,0,12.52136771157384,12.52136771157384,12.52136771157384,0.0,3.6135393240415365,0
138.0,1,0,13.16807239081245,13.16807239081245,13.16807239081245,0.0,3.666195986573015,0
139.0,1,0,13.241874288627878,13.241874288627878,13.241874288627878,0.0,3.7135431600530238,0
140.0,1,0,13.192987355263904,13.192987355263904,13.192987355263904,0.0,3.764407379098786,0
141.0,1,0,12.623227588110604,12.623227588110604,12.623227588110604,0.0,3.8562615094505412,0
142.0,1,0,13.218785293144174,13.218785293144174,13.218785293144174,0.0,3.905269761742327,0
143.0,1,0,12.610903522209265,12.610903522209265,12.610903522209265,0.0,3.998010515540222,0
144.0,1,0,12.516012544720434,12.516012544720434,12.516012544720434,0.0,4.09757795836609,0
145.0,1,0,13.041932595637627,13.041932595637627,13.041932595637627,0.0,4.159309426305829,0
146.0,1,0,13.505098511674442,13.505098511674442,13.505098511674442,0.0,4.187719605322057,0
147.0,1,0,13.52806507095229,13.52806507095229,13.52806507095229,0.0,4.21447751388664,0
148.0,1,0,13.412585393502377,13.412585393502377,13.412585393502377,0.0,4.249543312915247,0
149.0,1,0,13.706537120020949,13.706537120020949,13.706537120020949,0.0,4.263461505719495,0
150.0,1,0,12.812633115309291,12.812633115309291,12.812633115309291,0.0,4.341689339150482,0
151.0,1,0,13.632947031152435,13.632947031152435,13.632947031152435,0.0,4.360901782952465,0
152.0,1,0,12.490456564794295,12.490456564794295,12.490456564794295,0.0,4.462307785485249,0
153.0,1,0,13.257363274903037,13.257363274903037,13.257363274903037,0.0,4.508540643405894,0
154.0,1,0,13.725981707661413,13.725981707661413,13.725981707661413,0.0,4.521059945012986,0
155.0,2,1,0.0,12.425708864443004,6.212854432221502,0.0,2.313562027742356,1
156.0,2,0,2.445927859400399,12.616423133271747,7.531175496336073,0.0,2.7658978143925634,1
157.0,2,0,5.2518503837054595,13.874065589369275,9.562957986537366,0.0,3.06534771667242,1
158.0,2,0,7.358930905465968,13.003693647892215,10.18131227667909,0.0,3.315269522996936,1
159.0,2,0,9.793763846042566,13.87150805417914,11.832635950110852,0.0,3.4405645882660423,1
160.0,2,0,12.64498318056576,12.991502364259214,12.818242772412486,0.0,3.488129811896892,1
161.0,2,0,12.926411607929774,13.460739150620066,13.19357537927492,0.0,3.5080192405508663,0
162.0,1,0,12.024914636205219,12.024914636205219,12.024914636205219,0.0,2.2085594484736966,0
163.0,1,0,12.883851491891116,12.883851491891116,12.883851491891116,0.0,2.2200023746508566,0
164.0,1,0,12.174580585023657,12.174580585023657,12.174580585023657,0.0,2.285866509632066,0
165.0,1,0,12.84747237670076,12.84747237670076,12.84747237670076,0.0,2.3001007464420344,0
166.0,1,0,12.578048884098687,12.578048884098687,12.578048884098687,0.0,2.335007411805954,0
167.0,1,0,12.725816424049706,12.725816424049706,12.725816424049706,0.0,2.358576112975555,0
168.0,1,0,12.071235851895333,12.071235851895333,12.071235851895333,0.0,2.4323697220771883,0
169.0,1,0,12.726256425421022,12.726256425421022,12.726256425421022,0.0,2.455904662653664,0
170.0,1,0,12.41908784017273,12.41908784017273,12.41908784017273,0.0,2.5030081516563976,0
171.0,1,0,11.534472680462793,11.534472680462793,11.534472680462793,0.0,2.6179867302076696,0
172.0,1,0,13.011936713869952,13.011936713869952,13.011936713869952,0.0,2.619601884594768,0
173.0,1,0,12.862867016623065,12.862867016623065,12.862867016623065,0.0,2.6326549155980934,0
174.0,1,0,11.54832729794857,11.54832729794857,11.54832729794857,0.0,2.746570451771914,0
175.0,1,0,11.732833936622635,11.732833936622635,11.732833936622635,0.0,2.846329092164739,0
176.0,1,0,11.969221959284775,11.969221959284775,11.969221959284775,0.0,2.9279500621476924,0
177.0,1,0,12.915610777957633,12.915610777957633,12.915610777957633,0.0,2.9369561497040113,0
178.0,1,0,13.028459560753115,13.028459560753115,13.028459560753115,0.0,2.9373035327902435,0
179.0,1,0,12.041581821556472,12.041581821556472,12.041581821556472,0.0,3.013372447647868,0
180.0,3,2,0.0,9.828610399150792,3.2762034663835973,0.0,1.0864130260955542,2
181.0,3,0,2.4299165143165737,12.045609245420936,5.789575653653448,0.0,1.6506802887991714,2
