step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J11_stopped,J11_accumulated_waiting_time,J11_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
60.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
120.0,0,0.0,0.0,12.832835424202495,0,0.0,0.9232255700865104,0,0.0
180.0,3,38.0,9.5,2.6701317274225205,3,38.0,0.21989716957900915,3,38.0
195.0,1,10.0,2.5,9.861986963701202,1,10.0,0.6395807130752484,1,10.0
215.0,1,8.0,1.3333333333333333,10.026790555086901,1,8.0,0.7062016507478162,1,8.0
230.0,1,7.0,1.4,9.738001954287856,1,7.0,0.5947065025035806,1,7.0
235.0,0,0.0,0.0,6.27334195953565,0,0.0,0.23418817329944047,0,0.0
295.0,2,22.0,2.75,6.374407228594874,2,22.0,0.4544914078799539,2,22.0
305.0,0,0.0,0.0,11.930240171973676,0,0.0,0.9501285688616427,0,0.0
320.0,1,0.0,0.0,10.739027640531791,1,0.0,0.7150609312824913,1,0.0
335.0,2,17.0,1.7,9.00936574271189,2,17.0,0.5655074713450529,2,17.0
345.0,1,4.0,0.4444444444444444,8.136906438561152,1,4.0,0.47248079010834854,1,4.0
350.0,0,0.0,0.0,8.539236837691258,0,2.0,0.6436268740271309,0,2.0
365.0,0,0.0,0.0,11.601915411836806,0,0.0,0.8753342968740375,0,0.0
380.0,2,11.0,1.2222222222222223,7.503199458661028,2,11.0,0.4781639781652065,2,11.0
385.0,0,0.0,0.0,9.536991043698908,0,0.0,0.8020517570855513,0,0.0
400.0,1,0.0,0.0,11.421051443613424,1,0.0,0.8318298412232448,1,0.0
415.0,2,14.0,1.0,9.171941366901441,2,14.0,0.5110404512905065,2,14.0
425.0,1,0.0,0.0,10.555550976116287,1,0.0,0.7761049049918703,1,0.0
440.0,1,11.0,0.8461538461538461,11.189879340331593,1,10.0,0.744477363402303,1,10.0
470.0,2,14.0,0.8235294117647058,9.224296564229736,2,14.0,0.6589930609021765,2,14.0
495.0,5,35.0,1.9444444444444444,7.765037019143922,5,35.0,0.4316230985289013,5,35.0
540.0,2,44.0,2.75,9.767549600718661,2,44.0,0.7145042339554015,2,44.0
550.0,1,6.0,0.375,9.748462834809654,1,6.0,0.6357914841063174,1,6.0
555.0,1,0.0,0.0,8.342756097339004,1,0.0,0.4234739382492599,1,0.0
575.0,2,9.0,0.391304347826087,10.904321630994266,2,9.0,0.7860082721021489,2,9.0
585.0,1,2.0,0.09523809523809523,10.124585174786242,1,2.0,0.6278535377860169,1,2.0
590.0,1,3.0,0.15,9.646127208239509,1,6.0,0.636587692113627,1,6.0
595.0,2,9.0,0.45,10.50801426038697,2,9.0,0.5208326027288639,2,9.0
610.0,3,44.0,1.8333333333333333,9.221371072090843,3,44.0,0.5538504956012654,3,44.0
615.0,2,0.0,0.0,9.325670668459884,2,9.0,0.6628038197039056,2,9.0
645.0,13,120.0,3.2432432432432434,6.763874988485648,13,120.0,0.4299373958965944,13,120.0
660.0,7,40.0,1.0,8.60399418240946,7,86.0,0.49627004785627854,7,86.0
675.0,9,70.0,1.794871794871795,7.8138585410577095,9,107.0,0.31220083089857226,9,107.0
680.0,11,68.0,1.7435897435897436,7.1661332036405545,11,114.0,0.31038611034864266,11,114.0
685.0,2,13.0,0.37142857142857144,9.389956128956998,2,67.0,0.5826492870679016,2,67.0
715.0,8,136.0,4.0,8.804475371238055,8,138.0,0.5768217924537528,8,138.0
720.0,6,63.0,1.8529411764705883,7.629721922018552,6,118.0,0.5080399627296269,6,118.0
725.0,1,0.0,0.0,9.176638318220963,1,34.0,0.5982427570240136,1,34.0
740.0,6,47.0,1.2702702702702702,10.177581952521969,6,47.0,0.6115238598398727,6,47.0
745.0,6,19.0,0.48717948717948717,8.622764810103309,6,46.0,0.4724707384202543,6,46.0
755.0,4,11.0,0.3235294117647059,8.271935111145256,4,29.0,0.44056830534579644,4,29.0
760.0,5,26.0,0.7647058823529411,8.950429139216533,5,28.0,0.5005203156994056,5,28.0
765.0,6,54.0,1.588235294117647,9.788264722546598,6,56.0,0.5723921569737459,6,56.0
770.0,2,20.0,0.625,9.305576892301405,2,50.0,0.5329291882900187,2,50.0
800.0,7,124.0,3.875,9.177499524503416,7,124.0,0.6382456128660803,7,124.0
